Datetime,Close,High,Low,Open,Volume,TypicalPrice,CumVolume,CumPV,VWAP,Returns,Volatility,Regime
2025-10-14 13:30:00+00:00,245.72999572753906,246.72000122070312,245.50010681152344,246.61500549316406,1448151,245.98336791992188,1448151,356221060.2366028,245.98336791992188,,,
2025-10-14 13:31:00+00:00,246.72000122070312,246.77000427246094,245.67999267578125,245.75,162471,246.38999938964844,1610622,396252289.82743835,246.02438674464793,0.004028834535372505,,
2025-10-14 13:32:00+00:00,246.75999450683594,247.13999938964844,246.5,246.7239990234375,143180,246.79999796549478,1753802,431589113.5361379,246.08770746990703,0.00016209989435367333,,
2025-10-14 13:33:00+00:00,246.61000061035156,246.9199981689453,246.38999938964844,246.6999969482422,115797,246.63999938964844,1869599,460149285.545461,246.12191467018383,-0.0006078533790866425,,
2025-10-14 13:34:00+00:00,246.5050048828125,246.72000122070312,246.25999450683594,246.58999633789062,133915,246.49500020345053,2003514,493158663.49770606,246.14685173036278,-0.000425756162682811,,
2025-10-14 13:35:00+00:00,246.63999938964844,246.7100067138672,246.27999877929688,246.42999267578125,137883,246.5433349609375,2141397,527152798.152125,246.17238099807042,0.0005476339391166096,,
2025-10-14 13:36:00+00:00,246.82749938964844,246.8800048828125,246.38009643554688,246.63999938964844,112621,246.69586690266928,2254018,554935933.3785706,246.19853673687192,0.0007602173226726183,,
2025-10-14 13:37:00+00:00,246.68499755859375,246.83999633789062,246.44000244140625,246.77000427246094,146379,246.65499877929688,2400397,591041045.4448853,246.2263723229471,-0.0005773336901563342,,
2025-10-14 13:38:00+00:00,246.4429931640625,246.75999450683594,246.02560424804688,246.75999450683594,96620,246.40953063964844,2497017,614849134.2952881,246.2334594819691,-0.0009810259923640485,,
2025-10-14 13:39:00+00:00,246.15969848632812,246.46800231933594,245.9499969482422,246.41000366210938,97986,246.19256591796875,2595003,638972559.0593262,246.2319153616879,-0.00114953431662701,,
2025-10-14 13:40:00+00:00,246.06500244140625,246.2100067138672,245.82000732421875,246.13499450683594,85806,246.03167215983072,2680809,660083552.7206726,246.22550607696132,-0.0003846935363674975,,
2025-10-14 13:41:00+00:00,245.72999572753906,246.08999633789062,245.6999969482422,246.0399932861328,67749,245.83999633789062,2748558,676738966.6325684,246.21600367631623,-0.001361456162165764,,
2025-10-14 13:42:00+00:00,245.42799377441406,245.7949981689453,245.3300018310547,245.72000122070312,87062,245.51766459147134,2835620,698114225.5472311,246.194562581457,-0.0012289991387940402,,
2025-10-14 13:43:00+00:00,244.89999389648438,245.44000244140625,244.6999969482422,245.42999267578125,265788,245.0133310953776,3101408,763235828.7924093,246.09333205834554,-0.0021513433321506126,,
